0.0,69.0,1,0.24,0.2
0.0,84.0,2,0.15,0.15
0.0,51.0,3,0.17,0.14
0.0,57.0,4,0.11,0.25
0.0,51.0,5,0.25,0.17
0.0,92.0,6,0.11,0.23
0.0,60.0,7,0.16,0.14
0.0,84.0,8,0.12,0.25
0.0,88.0,9,0.26,0.19
0.0,89.0,10,0.28,0.3
0.0,93.0,11,0.23,0.27
0.0,62.0,12,0.18,0.1
0.0,64.0,13,0.28,0.14
0.0,50.0,14,0.13,0.3
0.0,92.0,15,0.2,0.11
0.0,58.0,16,0.3,0.18
0.0,97.0,17,0.18,0.2
0.0,80.0,18,0.1,0.26
0.0,57.0,19,0.24,0.14
0.0,80.0,20,0.11,0.12
0.0,61.0,21,0.28,0.23
0.0,71.0,22,0.24,0.27
0.0,94.0,23,0.26,0.17
0.0,97.0,24,0.16,0.25
0.0,80.0,25,0.21,0.19
0.0,55.0,26,0.29,0.16
0.0,61.0,27,0.16,0.19
0.0,99.0,28,0.1,0.18
0.0,50.0,29,0.17,0.28
0.0,67.0,30,0.28,0.27
0.0,50.0,31,0.2,0.12
0.0,89.0,32,0.18,0.15
0.0,63.0,33,0.24,0.12
0.0,57.0,34,0.19,0.23
0.0,83.0,35,0.22,0.29
0.0,82.0,36,0.24,0.12
0.0,74.0,37,0.19,0.25
0.0,53.0,38,0.1,0.22
0.0,92.0,39,0.16,0.15
0.0,77.0,40,0.11,0.26
0.0,77.0,41,0.21,0.12
0.0,65.0,42,0.27,0.22
0.0,65.0,43,0.3,0.3
0.0,95.0,44,0.2,0.15
0.0,69.0,45,0.14,0.15
0.0,82.0,46,0.12,0.27
0.0,78.0,47,0.25,0.26
0.0,66.0,48,0.12,0.1
0.0,72.0,49,0.22,0.16
0.0,78.0,50,0.19,0.11
0.0,69.0,51,0.29,0.27
0.0,92.0,52,0.16,0.15
0.0,85.0,53,0.14,0.29
0.0,70.0,54,0.22,0.1
0.0,56.0,55,0.3,0.29
0.0,79.0,56,0.12,0.25
0.0,89.0,57,0.27,0.11
0.0,50.0,58,0.26,0.27
0.0,83.0,59,0.17,0.14
0.0,84.0,60,0.14,0.13
0.0,82.0,61,0.23,0.14
0.0,98.0,62,0.2,0.26
0.0,70.0,63,0.13,0.11
0.0,65.0,64,0.3,0.28
0.0,77.0,65,0.12,0.21
0.0,98.0,66,0.22,0.17
0.0,55.0,67,0.19,0.17
0.0,67.0,68,0.29,0.28
0.0,80.0,69,0.19,0.28
0.0,63.0,70,0.28,0.24
1.0,92.0,71,0.19,0.22
2.0,80.0,72,0.28,0.14
2.0,101.0,73,0.15,0.28
